CitingPaperID,PaperID
2789314723,2789326304
2852288289,2790762956
2916587636,2797154402
2926439243,2889698477
2944550688,2884241891
2946409962,2888156965
2946783585,3101158652
2948867409,2912753551
2952261370,2889871292
2963293967,4246554211
2967828451,2946038851
2969795133,2886512263
2970710498,2902096938
2971051308,2936802249
2973204732,3101158652
2979624831,2910613741
2979641422,2797154402
2999971365,2790762956
3010248266,2784547979
3018462882,3010420310
3032798076,2910436479
3034041546,3101158652
3038894831,2999912861
3042355483,2991015525
3042867844,2913994064
3048782883,2781731418
3049152549,2886512263
3080661362,2911168426
3084207783,2889871292
3088571595,2919511965
3092179912,2910583403
3092568821,3016902371
3094665889,2911168426
3095006735,3021447918
3095333075,2965131901
3095654895,2834352034
3096324052,2952585581
3097041513,2920944394
3109087484,2886512263
3112573049,3043042346
3113327070,2802202684
3115165892,3033201346
3116611795,3016902371
3117427192,4213005603
3119436117,3016902371
3121246795,2947795823
3122199226,3016902371
4291201611,3106386073
4291666913,3092472394
4292259687,2804931006
4292260561,2804931006
4293125692,2908779983
4293325630,3010420310
4293757649,2969811742
4293792653,3125832090
4293919488,2793738252
4294169817,3083398598
4294583246,2937611850
4294637128,2793188910
4295168530,3032390071
4295168678,2952209611
4296353008,2793738252
4296635714,3032390071
4296849225,3047860288
4297491362,2937611850
4297695599,3016902371
4297938555,3000179970
4297971391,3036381826
4299559846,3000476650
4300097407,3093593919
4300960605,3106386073
4300962980,3095866569
4300963279,3023523944
4301897232,2908779983
4302024653,3101517546
4306398739,2884539400
4306398787,3109607089
4306399408,2911168426
4306976486,2979372312
4307282818,2802202684
4307349457,3092236810
4307459183,2939094421
4307459183,3013677841
4307459183,3109014588
4307935081,3016902371
4308071518,3013100313
4308118668,3016902371
4308118668,3106386073
4308173457,2889871292
4308351567,2981916298
4308766041,2952209611
4308866870,2911168426
4309011750,2912509029
4309442509,3014692697
4309516465,3106386073
4309585111,3106386073
4309645525,3023523944
4310009448,2900917686
4310038937,3015622078
4310758516,3016902371
4310794823,2943820258
4310995850,3047421127
4311197459,2807736098
4311197459,3037453696
4311199761,3021447918
4311474978,2888799175
4311720665,2781731418
4311720665,2937611850
4312107418,2908779983
4312108494,2913294220
4312204651,2972043475
4312243199,2919511965
4312332717,2912753551
4312340064,3043042346
4312547193,2795936257
4312547193,2980548847
4312707335,2912753551
4312846611,2912753551
4312852046,2793738252
4312852790,2912753551
4312890237,3010420310
4313011021,3021447918
4313038417,3016902371
4313213167,3033201346
4313258543,2790866882
4313302919,2783218188
4313334759,2793738252
4313360813,2891392898
4313389726,2886512263
4313389806,2886512263
4313391982,3106386073
4313458560,2888799175
4313491626,3125832090
4313491660,3013844373
4313492824,3016902371
4313493375,2968972313
4313522927,3046581048
4313561338,2947676450
4313572068,2946128840
4315749176,2979735245
4315762330,3082428929
4315798433,2883633619
4315798494,2883633619
4315821234,2886512263
4315839861,2952295880
4315839861,4235550240
4316039854,2883633619
4316039887,2883633619
4316082027,2911168426
4316171434,3013844373
4316193537,2936359656
4317105214,3109607089
4317387854,3106212478
4317387854,3109647619
4317555550,3106386073
4317718080,3093593919
4317830458,3000476650
4317840251,2963702981
4318001942,3013430767
4318001942,3016902371
4318587283,2834352034
4318665519,3032390071
4318669981,2892363996
4318764318,2886512263
4318777785,3016902371
4318812754,3024532045
4318819100,2920944394
4318821166,2943754376
4318824737,3016902371
4319304345,2974734886
4319317255,2886714195
4319744970,3083398598
4319781686,2953767368
4319782264,2899292887
4320018800,3043042346
4320151718,3093593919
4321197469,2790762956
4321370192,3047278215
4321483740,3092486269
4321483749,3092486269
4321483801,3092486269
4321486380,3092486269
4321486427,3092486269
4321487618,3092486269
4321487621,3092486269
4321487629,3092486269
4321487632,3092486269
4321487653,3092486269
4321487693,3092486269
4321487697,3092486269
4321498067,2883145566
4321499518,2955658630
4321499518,3121655845
4321499519,2955658630
4321499519,3121655845
4322581373,3024532045
4322703592,3023523944
4322729859,2784547979
