CitingPaperID,CitedPaperID,AuthorID
3094251143,2913239114,5077679949
4316019606,3043496963,5037477214
4376471657,3082873456,5004593292
2979663023,2800520656,5003032735
4323659951,2802415982,5077212622
4313612968,2916639324,5100655672
4313612968,2916639324,5014972600
4313612968,2916639324,5023508906
4313612968,2916639324,5024170138
4363650276,3080609503,5067592001
3138763721,3032323816,5049317897
3138763721,3032323816,5067110169
3138763721,3032323816,5049539173
3138763721,3032323816,5019559780
3138763721,3032323816,5075179945
3138763721,3032323816,5090001660
3138763721,3032323816,5074722873
3138763721,3032323816,5026903302
3138763721,3032323816,5043850385
3138763721,3032323816,5026556889
3138763721,3032323816,5041077752
3138763721,3032323816,5070326299
3138763721,3032323816,5049775246
3138763721,3032323816,5041685684
3138763721,3032323816,5075262199
3138763721,3032323816,5000471665
3138763721,3032323816,5026978286
4385188243,3013030149,5027090553
4385188243,3013030149,5010192477
4385188243,3013030149,5100608965
3205243295,4212943633,5100318292
3205243295,4212943633,5075574186
3205243295,4212943633,5027984932
3023169403,2899576510,5077372410
4214497559,3013030149,5059300113
4318385195,2945005138,5075961872
4318385195,2945005138,5043951146
4318385195,2945005138,5054332868
4318385195,2945005138,5025733523
4318385195,2945005138,5055309934
4318385195,2945005138,5074828414
4318385195,2945005138,5044047568
4322767513,3035340980,5054449015
4322767513,3035340980,5085134186
4322767513,3035340980,5065157295
4322767513,3035340980,5071555016
3038871902,2970940799,5074296326
3038871902,2970940799,5023366440
3038871902,2970940799,5015594019
3038871902,2970940799,5080224226
3038871902,2970940799,5066061574
3208183021,2991083800,5052209857
3208183021,2991083800,5014334670
4281965252,3099772397,5017804701
4281965252,3099772397,5014326078
4281965252,3099772397,5014326078
4281965252,3099772397,5014326078
4281965252,3099772397,5014326078
4381687086,2979485241,5061644716
4386884428,2982613061,5024180183
4386917869,2992562407,5029759854
3080980513,2883989950,5059144069
4210715042,3013458597,5010535661
4210715042,3013458597,5088859102
3006895320,2972785004,5035163865
2983143794,2896153567,5044317081
2983143794,2896153567,5063050678
2983143794,2896153567,5067205297
3160487586,2883989950,5059144069
3165723618,2991083800,5052209857
3165723618,2991083800,5014334670
3192778255,2805130537,5010558865
3192778255,2805130537,5087245979
4388621463,2955685624,5040252399
4296420135,3008816475,5028578315
4323659841,2988027213,5010368208
4385199341,3008816475,5090563848
3147500310,3021571352,5029008172
3053985705,3053985705,5062573820
3053985705,3053985705,5016033095
3053985705,3053985705,5039171452
3110916829,3110916829,5010896979
3110916829,3110916829,5021797771
3110916829,3110916829,5054612687
3110916829,3110916829,5033364470
4319301499,3107401622,5078612470
4393934434,3092592264,5018964245
4393934434,3092592264,5049818106
4393934434,3092592264,5008688665
4393934434,3092592264,5041195860
4393934434,3092592264,5052388558
4393934434,3092592264,5075777213
4393934434,3092592264,5052636399
4393934434,3092592264,5028859862
4393934434,3092592264,5073133047
4393934434,3092592264,5086818248
4393934434,3092592264,5041010822
4393934434,3092592264,5032260949
3140620076,3092592264,5036355718
3140620076,3092592264,5052636399
3140620076,3092592264,5073133047
3140620076,3092592264,5086818248
3140620076,3092592264,5011423959
3140620076,3092592264,5041010822
3140620076,3092592264,5032260949
3183553661,2946478767,5078845128
3183553661,2946478767,5011543233
3183553661,2946478767,5083323662
3183553661,2946478767,5045801140
4284697803,3092592264,5018964245
4284697803,3092592264,5049818106
4284697803,3092592264,5008688665
4284697803,3092592264,5091837518
4284697803,3092592264,5022581529
4284697803,3092592264,5010854961
4284697803,3092592264,5073133047
4284697803,3092592264,5086818248
4284697803,3092592264,5041010822
4284697803,3092592264,5032260949
4214862285,3087365000,5049097839
3006704546,2946478767,5078845128
3006704546,2946478767,5011543233
